# Programme: nSunsCAP3_RPE
sets,reps,weight,type,rpe,intensity
Day,10
Rest
Day,11
Low Bar Squat
1,6,87.5,Test,8.29,77.78
1,4,95.0,Test,8.63,83.56
1,2,102.5,Test,8.58,90.31
Overhead Press
1,12,35.0,AMRAP,5.99,61.47
1,10,37.5,AMRAP,6.23,63.08
1,6,40.0,AMRAP EMOM,4.35,69.56
Back Lever, Straddle
5,12,10.0,AMRAP,10.0,80.0
Pullup
1,4,11.25,AMRAP,10.0,84.87
2,6,10.0,AMRAP,9.92,75.42
1,3,10.0,Opt AMRAP EMOM,6.34,77.96
Calf Raise, Standing
1,10,15.0,AMRAP,10.0,67.29
2,12,12.5,AMRAP,8.02,60.46
1,8,10.0,Opt AMRAP EMOM,1.54,62.41
Finger Curl
4,15,12.5,AMRAP,10.0,61.09
Dips
1,10,8.75,AMRAP,9.8,65.21
2,12,6.25,AMRAP,2.98,58.36
1,8,6.25,Opt AMRAP EMOM,1.54,59.52
Ab Rollout, Kneeling
5,12,7.5,AMRAP,10.0,80.0
Day,12
Flat Bench
4,6,65.0,Default,5.8,71.92
4,5,70.0,Default,6.98,76.92
1,5,72.5,Optional,8.11,79.33
Close Grip Bench
1,8,52.5,Default,7.76,71.64
3,6,55.0,Default,7.11,74.25
Wrist Curl
4,15,7.0,AMRAP,10.0,61.09
Wrist Extension
4,15,7.0,AMRAP,10.0,61.09
Land Mine Anti-Rotation
1,6,40.0,AMRAP,9.92,78.98
2,8,37.5,AMRAP,10.0,70.54
1,4,37.5,Opt AMRAP EMOM,5.53,74.94
Front Lever, One Leg Out
5,12,10.0,AMRAP,10.0,80.0
Bulgarian Split Squat
1,8,27.5,AMRAP,9.26,69.44
2,10,22.5,AMRAP,5.15,61.98
1,6,22.5,Opt AMRAP EMOM,2.33,64.26
Face Pull
1,8,22.5,AMRAP,10.0,73.86
2,10,20.0,AMRAP,8.2,66.25
1,6,22.5,Opt AMRAP EMOM,7.82,69.56
Toes to Bar
5,12,7.5,AMRAP,10.0,80.0
Day,13
Deadlift
4,4,120.0,Default,5.05,74.94
2,4,125.0,Default,6.32,77.35
1,4,127.5,AMRAP,6.96,79.79
Pendlay Row, Cheat
1,10,87.5,AMRAP,7.9,66.25
1,8,90.0,AMRAP,6.82,68.33
1,5,95.0,AMRAP EMOM,5.32,73.35
Side Raise
1,8,10.0,AMRAP,10.0,73.86
2,10,10.0,AMRAP,10.0,66.25
1,6,10.0,Opt AMRAP EMOM,9.92,69.56
Hammer Curl
1,8,15.0,AMRAP,10.0,73.86
2,10,15.0,AMRAP,10.0,66.25
1,6,15.0,Opt AMRAP EMOM,7.82,69.56
DB Incline Bench
1,10,30.0,AMRAP,8.2,65.21
2,12,25.0,AMRAP,4.79,58.36
1,8,25.0,Opt AMRAP EMOM,2.45,59.52
Plate Pinch
4,15,17.5,AMRAP,10.0,61.09
Zottman Curl
1,8,10.0,AMRAP,10.0,73.86
2,10,10.0,AMRAP,10.0,66.25
1,6,10.0,Opt AMRAP EMOM,9.92,69.56
V-Sit
5,12,7.5,AMRAP,10.0,80.0
Day,14
Front Squat
4,8,50.0,Default,4.53,63.69
2,6,55.0,Default,5.17,70.75
1,6,57.5,AMRAP,6.48,73.09
Overhead Press
1,10,37.5,Default,6.23,65.21
3,5,42.5,Default,4.96,74.54
Back Lever, Straddle
5,12,10.0,AMRAP,10.0,80.0
Pullup
1,4,11.25,AMRAP,10.0,84.87
2,6,10.0,AMRAP,9.92,75.42
1,3,10.0,Opt AMRAP EMOM,6.34,77.96
Calf Raise, Standing
1,10,15.0,AMRAP,10.0,67.29
2,12,12.5,AMRAP,8.02,60.46
1,8,10.0,Opt AMRAP EMOM,1.54,62.41
Finger Curl
4,15,12.5,AMRAP,10.0,61.09
Dips
1,10,8.75,AMRAP,9.8,65.21
2,12,6.25,AMRAP,2.98,58.36
1,8,6.25,Opt AMRAP EMOM,1.54,59.52
Parallette Crunch
1,6,12.5,AMRAP,10.0,78.98
2,8,12.5,AMRAP,10.0,70.54
1,4,12.5,Opt AMRAP EMOM,8.91,74.94
Day,15
Rest
Day,16
Flat Bench
1,6,70.0,Test,8.11,77.78
1,4,75.0,Test,8.02,83.56
1,2,82.5,Test,8.6,90.31
Close Grip Bench
1,12,45.0,AMRAP,6.77,62.46
1,10,45.0,AMRAP,5.15,63.08
1,6,50.0,AMRAP EMOM,4.35,68.33
Wrist Curl
4,15,7.0,AMRAP,10.0,61.09
Wrist Extension
4,15,7.0,AMRAP,10.0,61.09
Dragon Flag
5,12,7.5,AMRAP,10.0,80.0
Front Lever, One Leg Out
5,12,10.0,AMRAP,10.0,80.0
Lunge, Walking, Backstep, Dragon
1,4,42.5,AMRAP,10.0,84.87
2,6,37.5,AMRAP,9.49,75.42
1,3,37.5,Opt AMRAP EMOM,5.91,77.96
Face Pull
1,12,20.0,AMRAP,10.0,61.47
2,14,15.0,AMRAP,3.9,55.15
1,10,15.0,Opt AMRAP EMOM,2.2,55.44
Leg Raise
1,10,10.0,AMRAP,10.0,65.21
2,12,5.0,AMRAP,1.35,58.36
1,8,5.0,Opt AMRAP EMOM,0.75,59.52
Day,17
Sumo Deadlift
5,6,95.0,Default,4.81,68.33
2,5,105.0,Default,6.69,75.73
1,5,110.0,AMRAP,8.19,79.33
Kroc Row
1,8,27.5,AMRAP,5.42,69.44
1,5,30.0,AMRAP,4.87,74.54
1,4,30.0,AMRAP EMOM,3.78,74.94
Side Raise
1,12,10.0,AMRAP,10.0,61.47
2,14,5.0,AMRAP,1.71,55.15
1,10,5.0,Opt AMRAP EMOM,1.03,55.44
Hammer Curl
1,12,12.5,AMRAP,8.02,61.47
2,14,10.0,AMRAP,3.9,55.15
1,10,10.0,Opt AMRAP EMOM,2.2,55.44
DB Incline Bench
1,8,32.5,AMRAP,8.76,71.64
2,10,30.0,AMRAP,8.2,64.16
1,6,30.0,Opt AMRAP EMOM,4.35,67.06
Plate Pinch
4,15,17.5,AMRAP,10.0,61.09
Zottman Curl
1,12,10.0,AMRAP,10.0,61.47
2,14,5.0,AMRAP,1.71,55.15
1,10,5.0,Opt AMRAP EMOM,1.03,55.44
V-Sit
5,12,7.5,AMRAP,10.0,80.0
Day,18
Low Bar Squat
3,4,87.5,Default,5.98,76.15
3,4,90.0,Default,6.87,78.56
1,4,92.5,AMRAP,7.76,81.03
Overhead Press
1,10,37.5,AMRAP,6.23,66.25
1,8,37.5,AMRAP,4.53,66.07
1,5,42.5,AMRAP EMOM,4.96,70.92
Back Lever, Straddle
5,12,10.0,AMRAP,10.0,80.0
Pullup
1,8,8.75,AMRAP,7.76,69.44
2,10,7.5,AMRAP,5.15,61.98
1,6,7.5,Opt AMRAP EMOM,2.33,64.26
Calf Raise, Standing
1,8,15.0,AMRAP,10.0,73.86
2,10,15.0,AMRAP,10.0,66.25
1,6,15.0,Opt AMRAP EMOM,7.82,69.56
Finger Curl
4,15,12.5,AMRAP,10.0,61.09
Dips
1,8,10.0,AMRAP,10.0,71.64
2,10,8.75,AMRAP,9.8,64.16
1,6,7.5,Opt AMRAP EMOM,2.33,67.06
Ab Rollout, Kneeling
5,12,7.5,AMRAP,10.0,80.0
Day,19
