# Programme: nSuns CAP3-LP Hybrid
sets	reps	weight	type	rpe	intensity
Day,1
Flat Bench
5,12,7.5,AMRAP,14.23,75.0
Day,13
Deadlift
4,4,125.0,Default,6.32,76.92
2,4,127.5,Default,6.96,78.46
1,4,132.5,AMRAP,8.2,81.54
Pendlay Row, Cheat
1,10,100.0,AMRAP,12.35,75.47
1,8,95.0,AMRAP,8.53,71.7
1,5,95.0,AMRAP EMOM,5.32,71.7
Side Raise
1,10,10.0,AMRAP,14.3,80.0
3,12,7.5,AMRAP,6.77,60.0
1,8,7.5,Opt AMRAP EMOM,3.65,60.0
Hammer Curl
1,10,15.0,AMRAP,12.13,75.0
3,12,10.0,AMRAP,2.98,50.0
1,8,12.5,Opt AMRAP EMOM,4.53,62.5
DB Incline Bench
1,6,35.0,AMRAP,9.0,77.78
3,8,30.0,AMRAP,6.26,66.67
1,4,35.0,Opt AMRAP EMOM,6.68,77.78
Plate Pinch
4,15,17.5,AMRAP,11.44,63.64
Zottman Curl
1,10,10.0,AMRAP,14.3,80.0
3,12,7.5,AMRAP,6.77,60.0
1,8,7.5,Opt AMRAP EMOM,3.65,60.0
V-Sit
5,12,7.5,AMRAP,14.23,75.0
Day,14
Front Squat
4,5,57.5,Default,5.39,71.88
4,4,60.0,Default,5.53,75.0
1,4,72.5,Optional,11.58,90.62
Overhead Press
1,5,45.0,Default,6.69,75.0
1,5,52.5,Default,11.65,87.5
1,1,57.5,Test,9.54,95.83
1,3,55.0,Default,10.73,91.67
1,3,52.5,Default,9.26,87.5
1,3,50.0,Default,7.68,83.33
1,5,45.0,Default,6.69,75.0
1,5,42.5,Default,4.96,70.83
1,5,40.0,AMRAP,3.41,66.67
Back Lever, Straddle
5,12,10.0,AMRAP,10.16,66.67
Pullup
1,6,10.0,AMRAP,9.92,80.0
3,8,7.5,AMRAP,3.65,60.0
1,4,8.75,Opt AMRAP EMOM,3.56,70.0
Calf Raise, Standing
1,12,12.5,AMRAP,8.02,62.5
3,14,10.0,AMRAP,3.9,50.0
1,10,10.0,Opt AMRAP EMOM,2.2,50.0
Finger Curl
4,15,12.5,AMRAP,10.8,62.5
Dips
1,6,10.0,AMRAP,9.92,80.0
3,8,8.75,AMRAP,7.76,70.0
1,4,8.75,Opt AMRAP EMOM,3.56,70.0
Parallette Crunch
1,6,12.5,AMRAP,11.24,83.33
3,8,10.0,AMRAP,6.26,66.67
1,4,10.0,Opt AMRAP EMOM,2.5,66.67
Day,15
Rest
Day,16
Flat Bench
1,6,75.0,Test,10.36,81.08
1,4,77.5,Test,9.09,83.78
1,2,82.5,Test,8.6,89.19
Close Grip Bench
1,12,52.5,AMRAP,11.84,70.0
1,10,45.0,AMRAP,5.15,60.0
1,6,45.0,AMRAP EMOM,2.33,60.0
Wrist Curl
4,15,7.0,AMRAP,14.88,70.0
Wrist Extension
4,15,7.0,AMRAP,14.88,70.0
Dragon Flag
