# Programme: DCG_YugeStr
sets,reps,weight,type,rpe,intensity
1,10,5.0,Opt AMRAP EMOM,1.03,58.36
Parallette Crunch
1,10,12.5,AMRAP,10.0,67.29
2,12,10.0,AMRAP,10.0,60.46
1,8,7.5,Opt AMRAP EMOM,1.54,62.41
Day,15
Flat Bench
1,12,55.0,Default,6.51,60.46
1,10,57.5,Default,6.08,64.16
1,8,62.5,AMRAP,6.66,68.33
Wrist Extension
1,10,7.0,AMRAP,9.8,69.37
2,12,7.0,AMRAP,10.0,62.46
1,8,7.0,Opt AMRAP EMOM,7.76,64.91
Wrist Curl
1,10,7.0,AMRAP,9.8,69.37
2,12,7.0,AMRAP,10.0,62.46
1,8,7.0,Opt AMRAP EMOM,7.76,64.91
Kroc Row
1,12,25.0,Default,6.21,60.46
1,10,25.0,Default,4.68,64.16
1,8,27.5,AMRAP,5.42,68.33
Dragon Flag
5,12,7.5,AMRAP,10.0,80.0
Front Lever, One Leg Out
5,12,10.0,AMRAP,10.0,80.0
Lunge, Walking, Backstep, Dragon
1,8,37.5,AMRAP,10.0,73.86
2,10,32.5,AMRAP,9.05,66.25
1,6,35.0,Opt AMRAP EMOM,7.26,69.56
Face Pull
1,10,22.5,AMRAP,10.0,69.37
2,12,20.0,AMRAP,10.0,62.46
1,8,20.0,Opt AMRAP EMOM,6.26,64.91
Day,16
Front Squat
1,12,47.5,Default,6.47,60.46
1,10,50.0,Default,6.23,64.16
1,8,52.5,AMRAP,5.81,68.33
Overhead Press
1,12,35.0,Default,5.99,60.46
1,10,37.5,Default,6.23,64.16
1,8,40.0,AMRAP,6.26,68.33
Archer Pullup
1,8,0.0,AMRAP,NaN,73.86
2,10,0.0,AMRAP,NaN,66.25
1,6,0.0,Opt AMRAP EMOM,NaN,69.56
Back Lever, Straddle
5,12,10.0,AMRAP,10.0,80.0
Calf Raise, Standing
1,10,15.0,AMRAP,10.0,69.37
2,12,12.5,AMRAP,8.02,62.46
1,8,15.0,Opt AMRAP EMOM,10.0,64.91
Finger Curl
1,10,15.0,AMRAP,10.0,69.37
2,12,12.5,AMRAP,8.02,62.46
1,8,15.0,Opt AMRAP EMOM,10.0,64.91
Leg Raise
1,8,10.0,AMRAP,10.0,73.86
2,10,10.0,AMRAP,10.0,66.25
1,6,10.0,Opt AMRAP EMOM,9.92,69.56
Day,17
Deadlift
1,12,97.5,Default,6.77,60.46
1,10,102.5,Default,6.5,64.16
1,8,110.0,AMRAP,6.71,68.33
Single Leg Hip Thrust
1,12,5.0,Default,2.98,60.46
1,10,5.0,Default,2.2,64.16
1,8,5.0,AMRAP,1.54,68.33
Side Raise
1,10,10.0,AMRAP,10.0,69.37
2,12,10.0,AMRAP,10.0,62.46
1,8,10.0,Opt AMRAP EMOM,10.0,64.91
Dips
1,8,10.0,AMRAP,10.0,73.86
2,10,8.75,AMRAP,9.8,66.25
1,6,8.75,Opt AMRAP EMOM,5.68,69.56
Bulgarian Split Squat
1,8,30.0,AMRAP,10.0,73.86
2,10,25.0,AMRAP,8.2,66.25
1,6,27.5,Opt AMRAP EMOM,7.11,69.56
Plate Pinch
1,10,20.0,AMRAP,10.0,69.37
2,12,17.5,AMRAP,8.6,62.46
